relationship	source	target	output	correct (manual)	structure_types	wrong_honorific_types	honorific_types
あなたは松本に敬語を使いません。あなたと松本は山本先生に敬語を使います。	「山本先生が来る」と松本が知る。	「山本先生がおいでになる」と松本が知る。	「山本先生が来られる」と松本が知らされました	0	direct-speech#scrambling		NA#SH
あなたは伊藤に敬語を使います。あなたと伊藤は吉田社長に敬語を使います。	「伊藤が読む」と吉田社長が考える。	「伊藤が読む」と吉田社長がお考えになる。	「伊藤さんが読まれる」と吉田社長が考えられる	0	direct-speech#scrambling		SH#NA
あなたは中村社長に敬語を使います。あなたと中村社長は山田様に敬語を使います。	「山田様が受け取る」と中村社長が思う。	「山田様が受け取りなさる」と中村社長がお思いになる。	「山田様に受け取っていただく」と中村社長が思う	0	direct-speech#scrambling		SH#SH
あなたは鈴木に敬語を使いません。あなたと鈴木は山本に敬語を使いません。	山本に鈴木が与えなさる。	山本に鈴木が与える。	山本に鈴木が与えられる	0	scrambling#	SH#	NA#
あなたは木村に敬語を使いません。あなたと木村は林に敬語を使いません。	林に木村がご依頼する。	林に木村が依頼する。	林さんに木村さんがお願いします	0	scrambling#	OH1#	NA#
あなたは佐藤に敬語を使いません。あなたと佐藤は斎藤さんに敬語を使います。	佐藤に斎藤さんがお目にかかる。	佐藤に斎藤さんがお会いになる。	佐藤に斎藤さんがお目にかかられる	0	scrambling#	OH1#	SH#
あなたは山口に敬語を使いません。あなたと山口は渡辺先生に敬語を使います。	渡辺先生に山口がご依頼になる。	渡辺先生に山口がご依頼する。	渡辺先生に山口がお願いになる	0	scrambling#	SH#	OH1#
あなたは斎藤様に敬語を使います。あなたと斎藤様は山本先生に敬語を使います。	斎藤様に山本先生が差し上げる。	斎藤様に山本先生がお与えになる。	斎藤様に山本先生から差し上げられます	1	scrambling#	OH1#	SH#
あなたは佐藤博士に敬語を使います。あなたと佐藤博士は伊藤社長に敬語を使います。	伊藤社長に佐藤博士がお会いになる。	伊藤社長に佐藤博士がお会いする。	伊藤社長に佐藤博士がお会いになられる	0	scrambling#	SH#	OH1#
あなたは鈴木に敬語を使いません。あなたと鈴木は山口に敬語を使いません。	山口を鈴木がお待ちになる。	山口を鈴木が待つ。	山口を鈴木がお待ち申し上げる	0	scrambling#	SH#	NA#
あなたは佐々木に敬語を使いません。あなたと佐々木は山口に敬語を使いません。	山口を佐々木がお待ちする。	山口を佐々木が待つ。	佐々木が山口をお待ちしております	0	scrambling#	OH1#	NA#
あなたは小林に敬語を使いません。あなたと小林は松本先輩に敬語を使います。	小林を松本先輩がご紹介する。	小林を松本先輩が紹介なさる。	小林を松本先輩がご紹介いただきます	0	scrambling#	OH1#	SH#
あなたは高橋に敬語を使いません。あなたと高橋は井上社長に敬語を使います。	井上社長を高橋がお呼びになる。	井上社長を高橋がお呼びする。	井上社長を高橋様がお呼びになる	0	scrambling#	SH#	OH1#
あなたは松本教授に敬語を使います。あなたと松本教授は佐藤さんに敬語を使います。	松本教授を佐藤さんがお呼びする。	松本教授を佐藤さんがお呼びになる。	松本教授を佐藤さんがお招きします	0	scrambling#	OH1#	SH#
あなたは佐々木社長に敬語を使います。あなたと佐々木社長は井上様に敬語を使います。	井上様を佐々木社長がお手伝いになる。	井上様を佐々木社長がお手伝いする。	井上様を佐々木社長がお手伝いになられる	0	scrambling#	SH#	OH1#
あなたは山田に敬語を使いません。あなたと山田は佐々木に敬語を使いません。	山田が佐々木が受け取るとご理解になる。	山田が佐々木が受け取ると理解する。	佐々木さんが受け取るとご理解になります	0	indirect-speech#center-embedding	SH#	NA#NA
あなたは小林に敬語を使いません。あなたと小林は松本に敬語を使いません。	小林が松本が読むとお考えになる。	小林が松本が読むと考える。	小林が松本さんが読むとお考えになる	0	indirect-speech#center-embedding	SH#	NA#NA
あなたは加藤に敬語を使いません。あなたと加藤は中村博士に敬語を使います。	中村博士が加藤が食べると承知する。	中村博士が加藤が食べるとご理解になる。	中村博士が加藤さんが食べることを承知いたします	0	indirect-speech#center-embedding	OH1#NA	SH#NA
あなたは吉田に敬語を使いません。あなたと吉田は渡辺教授に敬語を使います。	吉田が渡辺教授がお受け取りすると知る。	吉田が渡辺教授がお受け取りになると知る。	吉田が渡辺教授にお受け取りいただくことを知りました	1	indirect-speech#center-embedding	NA#OH1	NA#SH
あなたは佐々木社長に敬語を使います。あなたと佐々木社長は木村先輩に敬語を使います。	木村先輩が佐々木社長がご覧になると考える。	木村先輩が佐々木社長がご覧になるとお考えになる。	佐々木社長にご覧になっていただくと考えます	0	indirect-speech#center-embedding	NA#SH	SH#SH
あなたは松本博士に敬語を使います。あなたと松本博士は吉田教授に敬語を使います。	吉田教授が松本博士が受け取るとお考えになる。	吉田教授が松本博士がお受け取りになると考えなさる。	吉田教授が松本博士に受け取っていただくとお考えになる	1	indirect-speech#center-embedding	SH#NA	SH#SH
あなたは加藤教授に敬語を使います。あなたと加藤教授は山本様に敬語を使います。	山本様が加藤教授が行きなさると申し上げる。	山本様が加藤教授がおいでになるとおっしゃる。	山本様が加藤先生が行かれると申し上げます	0	indirect-speech#center-embedding	OH1#SH	SH#SH
あなたは鈴木さんに敬語を使います。あなたと鈴木さんは山口様に敬語を使います。	山口様が鈴木さんがお読みすると思いなさる。	山口様が鈴木さんがお読みになるとお思いになる。	山口様が鈴木さんにお読みいただけると思いなさいます	0	indirect-speech#center-embedding	SH#OH1	SH#SH
あなたは斎藤教授に敬語を使います。あなたと斎藤教授は木村教授に敬語を使います。	木村教授が斎藤教授がお読みすると承知する。	木村教授が斎藤教授がお読みになるとご理解になる。	斎藤教授に、木村教授がご承知いただけると存じます	0	indirect-speech#center-embedding	OH1#OH1	SH#SH
あなたは松本先輩に敬語を使います。あなたと松本先輩は山田教授に敬語を使います。	松本先輩が山田教授が召し上がると理解する。	松本先輩が山田教授がお食べになるとご理解になる。	松本先輩が山田教授に従うと理解します	0	indirect-speech#center-embedding	NA#SH	SH#SH
あなたは伊藤先生に敬語を使います。あなたと伊藤先生は山田さんに敬語を使います。	伊藤先生が山田さんが食べるとおっしゃる。	伊藤先生が山田さんがお食べになるとおっしゃる。	伊藤先生が山田さんが食べるとおっしゃいます	0	indirect-speech#center-embedding	SH#NA	SH#SH
あなたは伊藤博士に敬語を使います。あなたと伊藤博士は吉田さんに敬語を使います。	伊藤博士が吉田さんが行きなさると存じ上げる。	伊藤博士が吉田さんが行きなさるとご存じである。	伊藤博士が吉田さんが行かれると存じ上げます	0	indirect-speech#center-embedding	OH1#SH	SH#SH
あなたは松本教授に敬語を使います。あなたと松本教授は山本さんに敬語を使います。	松本教授が山本さんがお聞きすると理解なさる。	松本教授が山本さんが聞きなさると理解なさる。	松本教授が山本さんの話を聞いて理解される	0	indirect-speech#center-embedding	SH#OH1	SH#SH
あなたは林博士に敬語を使います。あなたと林博士は吉田教授に敬語を使います。	林博士が吉田教授が拝見すると申し上げる。	林博士が吉田教授がご覧になるとおっしゃる。	林博士が吉田教授にお見えになると申し上げます	0	indirect-speech#center-embedding	OH1#OH1	SH#SH
あなたは吉田に敬語を使いません。あなたと吉田は加藤に敬語を使いません。	加藤が行くと吉田がお思いになる。	加藤が行くと吉田が思う。	加藤が行くと、吉田さんがお思いになる	0	indirect-speech#scrambling	SH#NA	NA#NA
あなたは山口に敬語を使いません。あなたと山口は佐藤に敬語を使いません。	佐藤が受け取ると山口が存じ上げる。	佐藤が受け取ると山口が知る。	佐藤が受け取ると山口がご存知です	0	indirect-speech#scrambling	OH1#NA	NA#NA
あなたは佐々木に敬語を使いません。あなたと佐々木は山本に敬語を使いません。	山本がおいでになると佐々木が考える。	山本が来ると佐々木が考える。	山本がお越しになると、佐々木が考えるのではないでしょうか	0	indirect-speech#scrambling	NA#SH	NA#NA
あなたは山本に敬語を使いません。あなたと山本は小林に敬語を使いません。	小林が伺うと山本が言う。	小林が聞くと山本が言う。	小林が伺ったとき、山本が言いました	0	indirect-speech#scrambling	NA#OH1	NA#NA
あなたは渡辺に敬語を使いません。あなたと渡辺は斎藤様に敬語を使います。	渡辺が読むと斎藤様が拝察する。	渡辺が読むと斎藤様が考えなさる。	渡辺が読むと斎藤さまがご拝察される	0	indirect-speech#scrambling	OH1#NA	SH#NA
あなたは佐藤に敬語を使いません。あなたと佐藤は山田先輩に敬語を使います。	山田先輩が伺うと佐藤が考える。	山田先輩が聞きなさると佐藤が考える。	山田先輩が伺ったと佐藤が考える	0	indirect-speech#scrambling	NA#OH1	NA#SH
あなたは渡辺教授に敬語を使います。あなたと渡辺教授は鈴木先生に敬語を使います。	渡辺教授がお帰りになると鈴木先生が理解する。	渡辺教授がお帰りになると鈴木先生が理解なさる。	渡辺教授がお帰りになると、鈴木先生が理解される	1	indirect-speech#scrambling	NA#SH	SH#SH
あなたは渡辺教授に敬語を使います。あなたと渡辺教授は高橋教授に敬語を使います。	渡辺教授が来ると高橋教授がご存じである。	渡辺教授がおいでになると高橋教授が知りなさる。	渡辺教授が来ると高橋教授がお存じである	0	indirect-speech#scrambling	SH#NA	SH#SH
あなたは佐々木さんに敬語を使います。あなたと佐々木さんは田中博士に敬語を使います。	佐々木さんがお帰りになると田中博士が申し上げる。	佐々木さんがお帰りになると田中博士がおっしゃる。	佐々木さんがお帰りになられると、田中博士がおっしゃいます	0	indirect-speech#scrambling	OH1#SH	SH#SH
あなたは小林教授に敬語を使います。あなたと小林教授は山口博士に敬語を使います。	小林教授が頂戴すると山口博士がおっしゃる。	小林教授が召し上がると山口博士がおっしゃる。	小林教授が頂戴すると山口博士がおっしゃいます	0	indirect-speech#scrambling	SH#OH1	SH#SH
あなたは佐々木教授に敬語を使います。あなたと佐々木教授は井上社長に敬語を使います。	佐々木教授がお受け取りすると井上社長が承知する。	佐々木教授が受け取りなさると井上社長がご理解になる。	佐々木教授がお受け取りいただき、井上社長が承知いただきます	0	indirect-speech#scrambling	OH1#OH1	SH#SH
あなたは山口社長に敬語を使います。あなたと山口社長は山本様に敬語を使います。	山本様がご覧になると山口社長が言う。	山本様がご覧になると山口社長がおっしゃる。	山本さまがご覧になられると、山口社長がおっしゃいます	0	indirect-speech#scrambling	NA#SH	SH#SH
あなたは井上社長に敬語を使います。あなたと井上社長は山本社長に敬語を使います。	山本社長が見ると井上社長がご存じである。	山本社長がご覧になると井上社長がご存じである。	井上社長が山本社長をご存知であると思います	0	indirect-speech#scrambling	SH#NA	SH#SH
あなたは松本先輩に敬語を使います。あなたと松本先輩は小林さんに敬語を使います。	小林さんがお受け取りになると松本先輩が拝察する。	小林さんが受け取りなさると松本先輩がお思いになる。	小林さんがお受け取りになると、松本先輩がご拝察される	0	indirect-speech#scrambling	OH1#SH	SH#SH
あなたは山口さんに敬語を使います。あなたと山口さんは伊藤さんに敬語を使います。	伊藤さんがお聞きすると山口さんが理解なさる。	伊藤さんがお聞きになると山口さんがご理解になる。	伊藤さんがお聞きいただくと、山口さんが理解いただけると思います	0	indirect-speech#scrambling	SH#OH1	SH#SH
あなたは加藤教授に敬語を使います。あなたと加藤教授は伊藤先生に敬語を使います。	伊藤先生が伺うと加藤教授が拝察する。	伊藤先生がお聞きになると加藤教授がお考えになる。	伊藤先生が伺うと加藤教授がお見せします	0	indirect-speech#scrambling	OH1#OH1	SH#SH
あなたは小林に敬語を使いません。あなたと小林は山口に敬語を使いません。	小林が「山口が帰る」と考えなさる。	小林が「山口が帰る」と考える。	小林が「山口が帰られる」と考えなさる	0	direct-speech#center-embedding	SH#NA	NA#NA
あなたは井上に敬語を使いません。あなたと井上は山口に敬語を使いません。	井上が「山口が読む」と拝察する。	井上が「山口が読む」と思う。	井上が「山口さんが読む」と拝察される	0	direct-speech#center-embedding	OH1#NA	NA#NA
あなたは伊藤に敬語を使いません。あなたと伊藤は中村に敬語を使いません。	伊藤が「中村がおいでになる」と考える。	伊藤が「中村が来る」と考える。	伊藤が「中村さんがおいでになる」と考える	0	direct-speech#center-embedding	NA#SH	NA#NA
あなたは高橋に敬語を使いません。あなたと高橋は吉田に敬語を使いません。	高橋が「吉田が拝見する」と知る。	高橋が「吉田が見る」と知る。	高橋が「吉田さんがご覧になる」と知る	0	direct-speech#center-embedding	NA#OH1	NA#NA
あなたは中村に敬語を使いません。あなたと中村は佐藤先生に敬語を使います。	佐藤先生が「中村が行く」と拝察する。	佐藤先生が「中村が行く」と考えなさる。	佐藤先生が「中村さんが行かれる」と拝察される	0	direct-speech#center-embedding	OH1#NA	SH#NA
あなたは鈴木に敬語を使いません。あなたと鈴木は斎藤教授に敬語を使います。	鈴木が「斎藤教授が伺う」と理解する。	鈴木が「斎藤教授がおいでになる」と理解する。	鈴木が「斎藤教授がお伺いします」と理解する	0	direct-speech#center-embedding	NA#OH1	NA#SH
あなたは吉田に敬語を使います。あなたと吉田は鈴木さんに敬語を使います。	鈴木さんが「吉田が帰る」と拝察する。	鈴木さんが「吉田が帰る」とお考えになる。	鈴木さんが「吉田さんが帰られる」と拝察される	0	direct-speech#center-embedding	OH1#NA	SH#NA
あなたは斎藤に敬語を使います。あなたと斎藤は松本先輩に敬語を使います。	松本先輩が「斎藤がお帰りになる」と言う。	松本先輩が「斎藤が帰る」とおっしゃる。	斎藤さんがお帰りになられる	0	direct-speech#center-embedding	NA#SH	SH#NA
あなたは井上に敬語を使います。あなたと井上は吉田社長に敬語を使います。	吉田社長が「井上がお読みする」と知る。	吉田社長が「井上が読む」と知りなさる。	井上がお読みいただくと知りました	0	direct-speech#center-embedding	NA#OH1	SH#NA
あなたは木村に敬語を使います。あなたと木村は高橋さんに敬語を使います。	高橋さんが「木村がお帰りになる」とおっしゃる。	高橋さんが「木村が帰る」とおっしゃる。	木村さんがお帰りになるとおっしゃいます	0	direct-speech#center-embedding	SH#SH	SH#NA
あなたは小林さんに敬語を使います。あなたと小林さんは山田さんに敬語を使います。	小林さんが「山田さんがご覧になる」と考える。	小林さんが「山田さんがご覧になる」とお考えになる。	小林さんが「山田さんにご覧になっていただく」と考える	0	direct-speech#center-embedding	NA#SH	SH#SH
あなたは林先生に敬語を使います。あなたと林先生は山田先輩に敬語を使います。	林先生が「山田先輩が帰る」とおっしゃる。	林先生が「山田先輩がお帰りになる」とおっしゃる。	林先生が「山田先輩が帰られる」とおっしゃられる	1	direct-speech#center-embedding	SH#NA	SH#SH
あなたは松本様に敬語を使います。あなたと松本様は吉田さんに敬語を使います。	松本様が「吉田さんが聞きなさる」と承知する。	松本様が「吉田さんがお聞きになる」とご理解になる。	松本様が「吉田さんが聞いていただく」と承知する	0	direct-speech#center-embedding	OH1#SH	SH#SH
あなたは小林さんに敬語を使います。あなたと小林さんは山口さんに敬語を使います。	小林さんが「山口さんがお聞きする」と知りなさる。	小林さんが「山口さんがお聞きになる」と知りなさる。	小林さんが「山口さんにお聞きします」とお知らせいただきました	0	direct-speech#center-embedding	SH#OH1	SH#SH
あなたは佐藤博士に敬語を使います。あなたと佐藤博士は斎藤先生に敬語を使います。	佐藤博士が「斎藤先生がおいとまする」と存じ上げる。	佐藤博士が「斎藤先生がお帰りになる」と知りなさる。	佐藤博士が「斎藤先生がお休みになられる」と存じ上げます	0	direct-speech#center-embedding	OH1#OH1	SH#SH
あなたは林に敬語を使いません。あなたと林は鈴木に敬語を使いません。	「鈴木が見る」と林がおっしゃる。	「鈴木が見る」と林が言う。	「鈴木さんが見られる」と林さんがおっしゃっています	0	direct-speech#scrambling	SH#NA	NA#NA
あなたは山口に敬語を使いません。あなたと山口は林に敬語を使いません。	「林が聞く」と山口が申し上げる。	「林が聞く」と山口が言う。	「林さんが聞かれる」と山口さんが申し上げる	0	direct-speech#scrambling	OH1#NA	NA#NA
あなたは鈴木に敬語を使いません。あなたと鈴木は松本に敬語を使いません。	「松本がお読みになる」と鈴木が思う。	「松本が読む」と鈴木が思う。	「松本さんがお読みになられる」と鈴木さんが思われる	0	direct-speech#scrambling	NA#SH	NA#NA
あなたは渡辺に敬語を使いません。あなたと渡辺は佐々木に敬語を使いません。	「佐々木が伺う」と渡辺が知る。	「佐々木が聞く」と渡辺が知る。	「佐々木が伺っておられる」と渡辺が知る	0	direct-speech#scrambling	NA#OH1	NA#NA
あなたは加藤に敬語を使いません。あなたと加藤は佐々木様に敬語を使います。	「加藤が聞く」と佐々木様が承知する。	「加藤が聞く」と佐々木様が理解なさる。	「加藤が聞く」と佐々木様が承諾しました	0	direct-speech#scrambling	OH1#NA	SH#NA
あなたは田中に敬語を使いません。あなたと田中は木村さんに敬語を使います。	「木村さんがおいとまする」と田中が知る。	「木村さんがお帰りになる」と田中が知る。	「木村さんがお帰りになる」と田中が知りました	1	direct-speech#scrambling	NA#OH1	NA#SH
あなたは山田に敬語を使います。あなたと山田は木村様に敬語を使います。	「山田が帰る」と木村様が拝察する。	「山田が帰る」と木村様が思いなさる。	「山田が帰られる」と木村様が拝察される	0	direct-speech#scrambling	OH1#NA	SH#NA
あなたは伊藤に敬語を使います。あなたと伊藤は山本様に敬語を使います。	「伊藤がお受け取りになる」と山本様が理解する。	「伊藤が受け取る」と山本様が理解なさる。	「伊藤さんがお受け取りになられる」と山本さまが理解される	0	direct-speech#scrambling	NA#SH	SH#NA
あなたは加藤に敬語を使います。あなたと加藤は鈴木先輩に敬語を使います。	「加藤が伺う」と鈴木先輩が知る。	「加藤が来る」と鈴木先輩が知りなさる。	「加藤がお伺いした」と鈴木先輩がご存知でした	0	direct-speech#scrambling	NA#OH1	SH#NA
あなたは山口に敬語を使います。あなたと山口は伊藤先生に敬語を使います。	「山口がご覧になる」と伊藤先生が思いなさる。	「山口が見る」と伊藤先生がお思いになる。	「山口がご覧になられる」と伊藤先生が思われる	0	direct-speech#scrambling	SH#SH	SH#NA
あなたは松本博士に敬語を使います。あなたと松本博士は林社長に敬語を使います。	「林社長がお聞きになる」と松本博士が知る。	「林社長が聞きなさる」と松本博士がご存じである。	「林社長にお聞きになる」と松本博士がご存知です	1	direct-speech#scrambling	NA#SH	SH#SH
あなたは加藤様に敬語を使います。あなたと加藤様は小林社長に敬語を使います。	「小林社長が食べる」と加藤様がおっしゃる。	「小林社長が召し上がる」と加藤様がおっしゃる。	「加藤様が小林社長様が食べる」とおっしゃいます	0	direct-speech#scrambling	SH#NA	SH#SH
あなたは山口先生に敬語を使います。あなたと山口先生は山田博士に敬語を使います。	「山田博士がおいでになる」と山口先生が存じ上げる。	「山田博士がおいでになる」と山口先生がご存じである。	「山田博士がお越しになる」と山口先生が存じ上げました	0	direct-speech#scrambling	OH1#SH	SH#SH
あなたは加藤博士に敬語を使います。あなたと加藤博士は中村先生に敬語を使います。	「中村先生がお受け取りする」と加藤博士がご存じである。	「中村先生がお受け取りになる」と加藤博士がご存じである。	「中村先生が受け取られる」と加藤博士がご存じである	1	direct-speech#scrambling	SH#OH1	SH#SH
あなたは田中社長に敬語を使います。あなたと田中社長は小林教授に敬語を使います。	「小林教授がお読みする」と田中社長が申し上げる。	「小林教授が読みなさる」と田中社長がおっしゃる。	「小林教授がお読みいただく」と田中社長が申し上げる	0	direct-speech#scrambling	OH1#OH1	SH#SH
あなたは木村に敬語を使いません。あなたと木村は山田に敬語を使いません。	山田に木村が与える。	山田に木村が与える。	山田に木村が与えられる	0	scrambling#		NA#
あなたは中村に敬語を使いません。あなたと中村は井上様に敬語を使います。	中村に井上様が感謝する。	中村に井上様が感謝なさる。	中村は井上様に感謝されました	0	scrambling#		SH#
あなたは木村に敬語を使いません。あなたと木村は高橋教授に敬語を使います。	高橋教授に木村が依頼する。	高橋教授に木村がご依頼する。	高橋教授に木村がお願いします	1	scrambling#		OH1#
あなたは渡辺先生に敬語を使います。あなたと渡辺先生は佐藤さんに敬語を使います。	渡辺先生に佐藤さんが依頼する。	渡辺先生に佐藤さんがご依頼になる。	渡辺先生に、佐藤さんからの依頼を受けます	0	scrambling#		SH#
あなたは山本先生に敬語を使います。あなたと山本先生は山田博士に敬語を使います。	山田博士に山本先生が感謝する。	山田博士に山本先生が感謝申し上げる。	山田博士に山本先生が感謝いたします	0	scrambling#		OH1#
あなたは山田に敬語を使いません。あなたと山田は小林に敬語を使いません。	小林を山田が見送る。	小林を山田が見送る。	山田が小林を見送る	1	scrambling#		NA#
あなたは中村に敬語を使いません。あなたと中村は佐々木様に敬語を使います。	中村を佐々木様が見送る。	中村を佐々木様が見送りなさる。	佐々木様が中村を見送られます	1	scrambling#		SH#
あなたは佐藤に敬語を使いません。あなたと佐藤は鈴木社長に敬語を使います。	鈴木社長を佐藤が呼ぶ。	鈴木社長を佐藤がお呼びする。	佐藤が鈴木社長をお呼びになる	0	scrambling#		OH1#
あなたは吉田先輩に敬語を使います。あなたと吉田先輩は田中教授に敬語を使います。	吉田先輩を田中教授が見送る。	吉田先輩を田中教授が見送りなさる。	田中教授が吉田先輩を見送ります	0	scrambling#		SH#
あなたは木村先輩に敬語を使います。あなたと木村先輩は中村さんに敬語を使います。	中村さんを木村先輩が呼ぶ。	中村さんを木村先輩がお呼びする。	中村さんを木村先輩がお呼びになる	0	scrambling#		OH1#
あなたは松本に敬語を使いません。あなたと松本は高橋に敬語を使いません。	松本が高橋が受け取ると思う。	松本が高橋が受け取ると思う。	松本が高橋さんに受け取っていただけると思います	0	indirect-speech#center-embedding		NA#NA
あなたは佐藤に敬語を使いません。あなたと佐藤は木村先輩に敬語を使います。	木村先輩が佐藤が行くと思う。	木村先輩が佐藤が行くとお思いになる。	木村先輩が佐藤さんが行くと思います	0	indirect-speech#center-embedding		SH#NA
あなたは高橋に敬語を使いません。あなたと高橋は佐々木博士に敬語を使います。	高橋が佐々木博士が帰ると思う。	高橋が佐々木博士がお帰りになると思う。	高橋が博士が帰られると思います	0	indirect-speech#center-embedding		NA#SH
あなたは伊藤様に敬語を使います。あなたと伊藤様は高橋先輩に敬語を使います。	高橋先輩が伊藤様が行くと言う。	高橋先輩が伊藤様がおいでになるとおっしゃる。	伊藤さまが行くと言われました	0	indirect-speech#center-embedding		SH#SH
あなたは中村先生に敬語を使います。あなたと中村先生は木村博士に敬語を使います。	中村先生が木村博士が受け取ると思う。	中村先生が木村博士が受け取りなさると思いなさる。	中村先生が木村博士に受け取っていただけると思います	0	indirect-speech#center-embedding		SH#SH
あなたは林に敬語を使いません。あなたと林は田中に敬語を使いません。	田中が読むと林が言う。	田中が読むと林が言う。	田中さんが読むと、林さんが言われました	0	indirect-speech#scrambling		NA#NA
あなたは佐藤に敬語を使いません。あなたと佐藤は吉田様に敬語を使います。	佐藤が見ると吉田様が思う。	佐藤が見ると吉田様がお思いになる。	佐藤が見ると、吉田さまが思われます	1	indirect-speech#scrambling		SH#NA
あなたは田中に敬語を使いません。あなたと田中は斎藤さんに敬語を使います。	斎藤さんが来ると田中が理解する。	斎藤さんがおいでになると田中が理解する。	田中さんが斎藤さんの来訪を理解されると思います	0	indirect-speech#scrambling		NA#SH
あなたは佐藤教授に敬語を使います。あなたと佐藤教授は佐々木社長に敬語を使います。	佐藤教授が見ると佐々木社長が知る。	佐藤教授がご覧になると佐々木社長が知りなさる。	佐藤教授が見たら、佐々木社長がご存知でしょう	0	indirect-speech#scrambling		SH#SH
あなたは井上先輩に敬語を使います。あなたと井上先輩は渡辺博士に敬語を使います。	渡辺博士が聞くと井上先輩が理解する。	渡辺博士が聞きなさると井上先輩がご理解になる。	井上先輩が渡辺博士に聞いて理解されるようにします	0	indirect-speech#scrambling		SH#SH
あなたは山田に敬語を使いません。あなたと山田は鈴木に敬語を使いません。	山田が「鈴木が聞く」と知る。	山田が「鈴木が聞く」と知る。	山田が「鈴木さんが聞かれる」と知らされる	0	direct-speech#center-embedding		NA#NA
あなたは斎藤に敬語を使いません。あなたと斎藤は中村さんに敬語を使います。	中村さんが「斎藤が読む」と理解する。	中村さんが「斎藤が読む」とご理解になる。	中村さんが「斎藤が読んでいる」と理解されます	0	direct-speech#center-embedding		SH#NA
あなたは田中に敬語を使いません。あなたと田中は斎藤様に敬語を使います。	田中が「斎藤様が来る」と思う。	田中が「斎藤様がおいでになる」と思う。	田中が「斎藤さまが来られる」と思われる	0	direct-speech#center-embedding		NA#SH
あなたは渡辺に敬語を使います。あなたと渡辺は高橋教授に敬語を使います。	高橋教授が「渡辺が受け取る」と思う。	高橋教授が「渡辺が受け取る」とお思いになる。	高橋教授が「渡辺さんが受け取られる」と思う	0	direct-speech#center-embedding		SH#NA
あなたは林社長に敬語を使います。あなたと林社長は吉田教授に敬語を使います。	林社長が「吉田教授が帰る」と知る。	林社長が「吉田教授がお帰りになる」とご存じである。	林社長が「吉田教授が帰られる」と知りました	0	direct-speech#center-embedding		SH#SH
あなたは斎藤に敬語を使いません。あなたと斎藤は山田に敬語を使いません。	「山田が見る」と斎藤が考える。	「山田が見る」と斎藤が考える。	「山田さんが見られる」と斎藤さんが考えられる	0	direct-speech#scrambling		NA#NA
あなたは松本に敬語を使いません。あなたと松本は鈴木教授に敬語を使います。	「松本が帰る」と鈴木教授が思う。	「松本が帰る」と鈴木教授が思いなさる。	「松本が帰られる」と鈴木教授が思われる	0	direct-speech#scrambling		SH#NA
あなたは田中に敬語を使いません。あなたと田中は松本先輩に敬語を使います。	「松本先輩が食べる」と田中が言う。	「松本先輩がお食べになる」と田中が言う。	「松本先輩が食べられる」と田中が言いました	1	direct-speech#scrambling		NA#SH
あなたは井上に敬語を使います。あなたと井上は松本社長に敬語を使います。	「井上が見る」と松本社長が知る。	「井上が見る」と松本社長がご存じである。	井上が見たことを松本社長が知らされました	0	direct-speech#scrambling		SH#NA
あなたは高橋先輩に敬語を使います。あなたと高橋先輩は山本博士に敬語を使います。	「山本博士が帰る」と高橋先輩が思う。	「山本博士がお帰りになる」と高橋先輩が思いなさる。	「山本博士が帰られる」と高橋先輩が思われる	1	direct-speech#scrambling		SH#SH
あなたは渡辺に敬語を使いません。あなたと渡辺は山口に敬語を使いません。	山口に渡辺が感謝なさる。	山口に渡辺が感謝する。	山口に渡辺が感謝される	0	scrambling#	SH#	NA#
あなたは林に敬語を使いません。あなたと林は伊藤に敬語を使いません。	伊藤に林が感謝申し上げる。	伊藤に林が感謝する。	伊藤に林が感謝の気持ちを伝える	1	scrambling#	OH1#	NA#
あなたは伊藤に敬語を使いません。あなたと伊藤は高橋教授に敬語を使います。	伊藤に高橋教授がご依頼する。	伊藤に高橋教授がご依頼になる。	伊藤に高橋教授からお願いがあります	0	scrambling#	OH1#	SH#
あなたは伊藤に敬語を使いません。あなたと伊藤は鈴木先輩に敬語を使います。	鈴木先輩に伊藤がお会いになる。	鈴木先輩に伊藤がお会いする。	伊藤が鈴木先輩にお会いになる	0	scrambling#	SH#	OH1#
あなたは斎藤先輩に敬語を使います。あなたと斎藤先輩は木村様に敬語を使います。	斎藤先輩に木村様がお会いする。	斎藤先輩に木村様がお会いになる。	斎藤先輩が木村様にお会いします	1	scrambling#	OH1#	SH#
あなたは加藤先生に敬語を使います。あなたと加藤先生は田中博士に敬語を使います。	田中博士に加藤先生がお会いになる。	田中博士に加藤先生がお会いする。	田中博士に加藤先生がお会いになられる	0	scrambling#	SH#	OH1#
あなたは中村に敬語を使いません。あなたと中村は佐藤に敬語を使いません。	佐藤を中村が呼びなさる。	佐藤を中村が呼ぶ。	中村が佐藤さんを呼びなさいます	0	scrambling#	SH#	NA#
あなたは小林に敬語を使いません。あなたと小林は斎藤に敬語を使いません。	斎藤を小林がお見送りする。	斎藤を小林が見送る。	斎藤を小林がお見送りしてくださいます	0	scrambling#	OH1#	NA#
あなたは木村に敬語を使いません。あなたと木村は山本さんに敬語を使います。	木村を山本さんがご紹介する。	木村を山本さんが紹介なさる。	木村を山本さんがご紹介いただきます	0	scrambling#	OH1#	SH#
あなたは山口に敬語を使いません。あなたと山口は加藤さんに敬語を使います。	加藤さんを山口がお見送りになる。	加藤さんを山口がお見送りする。	山口が加藤さんをお見送りになります	0	scrambling#	SH#	OH1#
